iter	Logloss
0	0.6813450974
1	0.6706012136
2	0.6604273246
3	0.6499067119
4	0.6406030111
5	0.6318106801
6	0.6231321309
7	0.6151598079
8	0.6078067765
9	0.6004576073
10	0.5935592243
11	0.5878495696
12	0.5815106396
13	0.5758237397
14	0.5704910347
15	0.5655096006
16	0.5613292074
17	0.5568736375
18	0.5524070489
19	0.548301529
20	0.5444354816
21	0.5404819133
22	0.5371927855
23	0.5342405521
24	0.5310436916
25	0.5284393924
26	0.5256157539
27	0.5232684205
28	0.5207027155
29	0.5182280773
30	0.5158642808
31	0.5135964956
32	0.5112596729
33	0.5091519125
34	0.5071058907
35	0.5051262253
36	0.5032820753
37	0.5018282537
38	0.5002317858
39	0.4989066853
40	0.4970888121
41	0.4957181328
42	0.4945548933
43	0.4929882728
44	0.4918229867
45	0.4909259092
46	0.4897342263
47	0.4883511366
48	0.4868607837
49	0.485717672
50	0.4848348533
51	0.4838082211
52	0.4829591643
53	0.4820763396
54	0.4814570886
55	0.480489579
56	0.4795415895
57	0.4786031644
58	0.4776583314
59	0.476903579
60	0.4762680764
61	0.4756214607
62	0.4749276742
63	0.4741683672
64	0.4737139543
65	0.4729186504
66	0.4721640027
67	0.4714829151
68	0.4710111685
69	0.4705856003
70	0.4702340508
71	0.4697331971
72	0.4692422309
73	0.4687558638
74	0.4682851199
75	0.4677175313
76	0.4671871296
77	0.4667899012
78	0.4664216039
79	0.4658856803
80	0.4652929633
81	0.4647331294
82	0.4643587639
83	0.4638915865
84	0.4633359561
85	0.4629300532
86	0.462532343
87	0.462069546
88	0.4616665008
89	0.4613172312
90	0.4610303273
91	0.4606564298
92	0.4602513872
93	0.459999392
94	0.4596441767
95	0.4592657939
96	0.4589248331
97	0.4585870917
98	0.4582006141
99	0.457870109
100	0.4575827618
101	0.4571870048
102	0.4568932629
103	0.4565599677
104	0.4562168893
105	0.4558135199
106	0.4554577716
107	0.4551954967
108	0.4548821352
109	0.4546443122
110	0.454341501
111	0.454043117
112	0.4537307009
113	0.4533124334
114	0.4529586176
115	0.4527205976
116	0.4524773397
117	0.4521396409
118	0.4519431339
119	0.4516640107
120	0.4514390106
121	0.4510484661
122	0.4509153847
123	0.4506462624
124	0.4503936134
125	0.4501798814
126	0.4499088436
127	0.4496029314
128	0.4494281304
129	0.449231292
130	0.449112004
131	0.4488353773
132	0.448549984
133	0.4483144077
134	0.4481159557
135	0.4480163781
136	0.4479284428
137	0.4476933797
138	0.4475861332
139	0.4471892651
140	0.4469462256
141	0.4467753398
142	0.4465580211
143	0.4463331482
144	0.4461151726
145	0.445936935
146	0.4456668993
147	0.4455091762
148	0.4452546645
149	0.4449954214
150	0.4448009769
151	0.4446326921
152	0.4443766152
153	0.4442022468
154	0.4440598084
155	0.4439234592
156	0.4437218112
157	0.4435197705
158	0.4433657081
159	0.4431946093
160	0.4431022772
161	0.4429535333
162	0.4428033636
163	0.4426592152
164	0.4424770447
165	0.442428088
166	0.4421452445
167	0.4419172458
168	0.4416958947
169	0.4415763905
170	0.4413615315
171	0.441293549
172	0.4411514726
173	0.4408951262
174	0.4405908608
175	0.4404258498
176	0.4403249672
177	0.4402089667
178	0.4400614441
179	0.4398915998
180	0.439749518
181	0.4395379774
182	0.4394343007
183	0.4392321794
184	0.4390781655
185	0.4389289336
186	0.4387698362
187	0.4386358316
188	0.4384465468
189	0.4383041078
190	0.4381419516
191	0.4379576789
192	0.4377136628
193	0.4375212572
194	0.4373031032
195	0.4371919692
196	0.4370885063
197	0.4369090765
198	0.4367277083
199	0.4365987772
200	0.4364210355
201	0.4363398415
202	0.4361425251
203	0.4360159273
204	0.4359146462
205	0.4358449601
206	0.4357053201
207	0.4354843012
208	0.4353091463
209	0.4351698891
210	0.4350373361
211	0.434859038
212	0.4346749202
213	0.4345474003
214	0.4344965346
215	0.4344000771
216	0.4342939877
217	0.43419855
218	0.4340953031
219	0.4340368633
220	0.4339227249
221	0.4338551258
222	0.4337517404
223	0.4336235827
224	0.4335099345
225	0.4333329339
226	0.433250486
227	0.4331690475
228	0.4330589493
229	0.433045058
230	0.4329681935
231	0.4328270152
232	0.4326916664
233	0.4325845831
234	0.4324531125
235	0.4323736662
236	0.4321861407
237	0.4320562981
238	0.4318622442
239	0.4316711814
240	0.4315019605
241	0.4313999113
242	0.431254225
243	0.4310572724
244	0.4309073652
245	0.4307570215
246	0.4306875008
247	0.4305889541
248	0.4304666074
249	0.4304127161
250	0.4303096494
251	0.430182063
252	0.4300753298
253	0.4298933693
254	0.429825924
255	0.4297457208
256	0.4295932767
257	0.4294814913
258	0.4293407094
259	0.4292711611
260	0.4292168233
261	0.4290672452
262	0.428943275
263	0.4288209824
264	0.4287800998
265	0.4286683095
266	0.4285762164
267	0.4284065617
268	0.428354394
269	0.4282445639
270	0.4281151672
271	0.428040663
272	0.4280129939
273	0.4279102446
274	0.427790326
275	0.4277607205
276	0.4275758679
277	0.4275426351
278	0.427437602
279	0.4273459067
280	0.4272683519
281	0.427189632
282	0.4269491226
283	0.4268766371
284	0.4268493602
285	0.4267680281
286	0.4266663678
287	0.4265145825
288	0.4263974998
289	0.4262732464
290	0.4260924244
291	0.4259663277
292	0.4258361235
293	0.4256903475
294	0.4254878757
295	0.4253110528
296	0.4252026825
297	0.4251477134
298	0.4250324716
299	0.4249022022
300	0.4248762804
301	0.424781574
302	0.424536536
303	0.4243771485
304	0.4242321228
305	0.4241538225
306	0.4239449065
307	0.4238425557
308	0.4235974616
309	0.4235242768
310	0.4234698145
311	0.4233987494
312	0.4232568119
313	0.4231226269
314	0.4230363885
315	0.422951059
316	0.4227137999
317	0.4225001335
318	0.4223631829
319	0.4222614517
320	0.4221422844
321	0.4220283511
322	0.4218815482
323	0.4216543597
324	0.4215204124
325	0.4214128217
326	0.4212914464
327	0.4211848458
328	0.4210425156
329	0.4208063499
330	0.4205618848
331	0.4204316267
332	0.4203103333
333	0.4200858622
334	0.4199569352
335	0.4197229929
336	0.4196495144
337	0.4194427962
338	0.4192378394
339	0.4189610182
340	0.418769039
341	0.4186762032
342	0.4185508498
343	0.4184253114
344	0.4182599496
345	0.4180949197
346	0.4178896456
347	0.4176773334
348	0.4174587904
349	0.4173542787
350	0.4172784373
351	0.4171414209
352	0.417025752
353	0.4168140266
354	0.4167584021
355	0.4166404246
356	0.4164155649
357	0.4162838421
358	0.4161341018
359	0.4159648816
360	0.4157740976
361	0.4155736166
362	0.415444453
363	0.415274666
364	0.4151603455
365	0.4149461341
366	0.4149346518
367	0.4148408371
368	0.4147070283
369	0.4144753668
370	0.4143295453
371	0.414125813
372	0.413939973
373	0.4138144483
374	0.4135708212
375	0.4133806793
376	0.4132837239
377	0.4132694646
378	0.4131846528
379	0.4131230311
380	0.4129858209
381	0.4127969899
382	0.4127841646
383	0.4125607991
384	0.4123841937
385	0.4122395192
386	0.4121236182
387	0.4120397325
388	0.4119050601
389	0.4117852768
390	0.4117731717
391	0.4115507637
392	0.4113450222
393	0.4111428263
394	0.4110530938
395	0.4108697606
396	0.4107132338
397	0.4105594449
398	0.4103080712
399	0.4101614766
400	0.4099800339
401	0.4097984178
402	0.4096792791
403	0.409484033
404	0.4093768129
405	0.4092062534
406	0.4090562908
407	0.4088467968
408	0.4088373233
409	0.4085898462
410	0.4085121487
411	0.408352679
412	0.4083436007
413	0.4083337494
414	0.4081258798
415	0.4079313413
416	0.407713842
417	0.4074906263
418	0.4072347409
419	0.4071417162
420	0.4069254942
421	0.4067808075
422	0.406679532
423	0.4064766909
424	0.4062849709
425	0.406116618
426	0.4059297785
427	0.4057925967
428	0.4056303437
429	0.4056197398
430	0.405464916
431	0.4053243623
432	0.4050814325
433	0.404893567
434	0.4046704519
435	0.4045349436
436	0.4043492263
437	0.4041811024
438	0.4040376167
439	0.4038392031
440	0.4036740735
441	0.4036640948
442	0.4034362866
443	0.4032444781
444	0.4032355743
445	0.4030379744
446	0.4028236736
447	0.4027241241
448	0.4024998956
449	0.4023520673
450	0.4021125024
451	0.4018692927
452	0.401714864
453	0.4014769139
454	0.4012929686
455	0.4011687432
456	0.4010881092
457	0.4010107722
458	0.4008102801
459	0.4006830361
460	0.4005582098
461	0.4004176899
462	0.4002790978
463	0.4000911037
464	0.3998920282
465	0.3997562372
466	0.3996222102
467	0.3994754109
468	0.3993414487
469	0.3991225913
470	0.3990798579
471	0.3990715335
472	0.3989521828
473	0.3987563123
474	0.3985302014
475	0.3984274834
476	0.3982748421
477	0.3981184949
478	0.3979288042
479	0.3977589715
480	0.3976612514
481	0.3974891994
482	0.3973167819
483	0.3971126885
484	0.3968874482
485	0.3966513484
486	0.3965173776
487	0.3962849356
488	0.3960613701
489	0.3959077833
490	0.3957768794
491	0.3955869519
492	0.3955774524
493	0.3954046152
494	0.3953004648
495	0.3952916199
496	0.3951655421
497	0.394983454
498	0.3948064651
499	0.3946891814
500	0.3945397344
501	0.3943372716
502	0.3941816107
503	0.3941753125
504	0.3940957437
505	0.393844058
506	0.3936447231
507	0.3935476515
508	0.3933619422
509	0.3931813794
510	0.3929812641
511	0.392878197
512	0.3926799425
513	0.3924656117
514	0.3923061952
515	0.3921509542
516	0.3920226159
517	0.3920148057
518	0.391786833
519	0.3915706543
520	0.3914871742
521	0.391383677
522	0.3911900633
523	0.3910940003
524	0.3909527134
525	0.3908365215
526	0.3906368492
527	0.3906287608
528	0.3904232131
529	0.3902874301
530	0.3900825617
531	0.3899220596
532	0.3899004211
533	0.3898930493
534	0.389794171
535	0.3897863857
536	0.3896325247
537	0.3895268186
538	0.3895203188
539	0.3893618409
540	0.3893433322
541	0.3891862963
542	0.3889924662
543	0.3888320075
544	0.388808429
545	0.3885894676
546	0.3884533875
547	0.3882969888
548	0.3881385018
549	0.3880846863
550	0.387978109
551	0.3878537833
552	0.3878463748
553	0.3876347267
554	0.3875128733
555	0.3873729929
556	0.387269238
557	0.3871400139
558	0.3870281661
559	0.3868852715
560	0.3867666491
561	0.3866191328
562	0.3865124788
563	0.3863683504
564	0.3862662282
565	0.3861109203
566	0.3859707466
567	0.3858365695
568	0.3858295045
569	0.3856763413
570	0.3854847927
571	0.38537848
572	0.3852699929
573	0.3851422663
574	0.3850066158
575	0.3848107106
576	0.3846456543
577	0.3844804743
578	0.3843546934
579	0.3841690562
580	0.3840482865
581	0.3839253637
582	0.3837761689
583	0.3836063708
584	0.3834480998
585	0.3833948201
586	0.3831866806
587	0.3830569979
588	0.3828221017
589	0.3826596288
590	0.3825093886
591	0.3824751113
592	0.3824627598
593	0.3823216686
594	0.3821415027
595	0.381984123
596	0.3817980544
597	0.3817123989
598	0.3817061571
599	0.3815789756
600	0.3814728352
601	0.3812666202
602	0.3810658298
603	0.3808930045
604	0.3807742818
605	0.3805926355
606	0.3804778661
607	0.3802376372
608	0.3801501429
609	0.379966721
610	0.3798399454
611	0.3797143495
612	0.3796239066
613	0.3794893684
614	0.3792766866
615	0.3791726042
616	0.3790141344
617	0.3789059255
618	0.3787478529
619	0.378580917
620	0.3784914432
621	0.3783287864
622	0.3783229495
623	0.3781487135
624	0.3779781424
625	0.377859271
626	0.3778529149
627	0.3776825982
628	0.3775813648
629	0.3774319926
630	0.3772276334
631	0.3770633301
632	0.3769554124
633	0.3767741638
634	0.3766663706
635	0.3765069859
636	0.3763689677
637	0.3762605378
638	0.3760834498
639	0.3760514034
640	0.3759052063
641	0.37589818
642	0.3758045063
643	0.3756308947
644	0.3756248243
645	0.3754869129
646	0.3753681388
647	0.3752108393
648	0.3750975467
649	0.3750927456
650	0.3749675358
651	0.374961733
652	0.3748332479
653	0.3747373834
654	0.3745740828
655	0.3744799253
656	0.374346042
657	0.3741282164
658	0.3739438538
659	0.3738525705
660	0.3737872566
661	0.3737818792
662	0.3736104824
663	0.3734695849
664	0.3733152891
665	0.3731844462
666	0.3730243657
667	0.3729223814
668	0.3727017468
669	0.3725696652
670	0.3724260145
671	0.3722596284
672	0.3721683178
673	0.3720233744
674	0.3719230291
675	0.3717425554
676	0.3716722165
677	0.3716193313
678	0.3714648621
679	0.3713775382
680	0.3711759745
681	0.3710703717
682	0.3709454146
683	0.3707518039
684	0.3705434808
685	0.3704131996
686	0.3702202342
687	0.3699990939
688	0.3698331153
689	0.3697321957
690	0.3695670392
691	0.3694276089
692	0.3692543031
693	0.3691082683
694	0.36899042
695	0.3688143902
696	0.3686701816
697	0.3685115473
698	0.368506526
699	0.3683059353
700	0.368181639
701	0.3680981933
702	0.3680927563
703	0.3679605202
704	0.3678010705
705	0.3676737969
706	0.3675759685
707	0.3675703412
708	0.3675649659
709	0.3675609233
710	0.3674299859
711	0.3672914648
712	0.3671799221
713	0.3670199601
714	0.366899764
715	0.3667435237
716	0.3666313154
717	0.366626967
718	0.3665356513
719	0.3663860577
720	0.3662415975
721	0.3661319736
722	0.3659810497
723	0.3658607478
724	0.365759871
725	0.3656539053
726	0.3655259309
727	0.3654086314
728	0.3652668423
729	0.3651678319
730	0.3650390279
731	0.3650248029
732	0.364911988
733	0.3648210435
734	0.3647056377
735	0.3645675888
736	0.3643894938
737	0.3642464237
738	0.3640310464
739	0.3639584674
740	0.3638416606
741	0.3636651527
742	0.3635727457
743	0.3633778165
744	0.3632376548
745	0.3630404428
746	0.3629102529
747	0.3628269663
748	0.3626765047
749	0.3626730194
750	0.3625330704
751	0.3624126754
752	0.3623369127
753	0.3622530384
754	0.3621174529
755	0.3619674065
756	0.3618544408
757	0.3618508061
758	0.3616527692
759	0.3615610193
760	0.3614263465
761	0.3613161604
762	0.3611754417
763	0.3610845676
764	0.3609695803
765	0.3608814378
766	0.3607510431
767	0.3606429502
768	0.3604948363
769	0.360390531
770	0.3602231426
771	0.360053596
772	0.3599406206
773	0.3597664491
774	0.3596741796
775	0.3595442693
776	0.3594163981
777	0.3592755114
778	0.3590865639
779	0.3589723068
780	0.3588637658
781	0.3587150156
782	0.3586035525
783	0.358491414
784	0.3583883605
785	0.3583737945
786	0.3582470208
787	0.3581139216
788	0.3579965885
789	0.3578933661
790	0.3578039089
791	0.357693943
792	0.3575983373
793	0.35750177
794	0.3573590924
795	0.3572859301
796	0.3572128252
797	0.3570935369
798	0.3569691507
799	0.3568693239
800	0.3567864774
801	0.3566854615
802	0.3565599325
803	0.3564509209
804	0.3563182703
805	0.3561751843
806	0.3560685822
807	0.3559446475
808	0.3558686124
809	0.3557202534
810	0.3556346262
811	0.3554406546
812	0.3553066879
813	0.3551645064
814	0.3551546389
815	0.3550777741
816	0.3549519722
817	0.3547898834
818	0.3546568215
819	0.3545509353
820	0.3543572462
821	0.3541506505
822	0.3540095124
823	0.3538717129
824	0.3538087116
825	0.3537073221
826	0.3536280707
827	0.3535443145
828	0.3533557644
829	0.3533449145
830	0.3531919762
831	0.3531751269
832	0.3529907484
833	0.352886634
834	0.3526793919
835	0.3525457778
836	0.3524644706
837	0.3523449493
838	0.3521569824
839	0.352149066
840	0.3520255947
841	0.3519446504
842	0.351875115
843	0.3517085612
844	0.3517041465
845	0.3516261872
846	0.3515112492
847	0.3514096692
848	0.3513464167
849	0.3511976687
850	0.3511310792
851	0.3510259254
852	0.3508756528
853	0.3507897448
854	0.3507279606
855	0.3507166424
856	0.3505787968
857	0.3505747778
858	0.3504562335
859	0.3503337489
860	0.35025111
861	0.3501340509
862	0.350116431
863	0.3499798509
864	0.349883433
865	0.3497616488
866	0.3496599483
867	0.3496293112
868	0.3495403712
869	0.3493897585
870	0.3492315216
871	0.3491205848
872	0.3490989943
873	0.3489562818
874	0.3488640921
875	0.3487464705
876	0.3485909729
877	0.3485604108
878	0.3484506984
879	0.3482954078
880	0.3481137519
881	0.3480481717
882	0.3479333558
883	0.3478336007
884	0.3477625579
885	0.3477578592
886	0.3476995263
887	0.3475524886
888	0.3473595059
889	0.3472606513
890	0.3470515381
891	0.3469707007
892	0.3468348676
893	0.3466890176
894	0.3465312628
895	0.34641436
896	0.346307495
897	0.3461604658
898	0.346019938
899	0.3459653699
900	0.3458744068
901	0.3457171484
902	0.3455886051
903	0.3454350765
904	0.345430529
905	0.3453218445
906	0.3451648872
907	0.3450883618
908	0.3450082444
909	0.3449154369
910	0.3446959174
911	0.344600713
912	0.3443817719
913	0.3443700275
914	0.3442573228
915	0.3442032195
916	0.3441327979
917	0.3440485041
918	0.3439414947
919	0.3438545066
920	0.3437639916
921	0.3436527082
922	0.3436497007
923	0.3435844611
924	0.343433471
925	0.343324483
926	0.3432407417
927	0.3430944534
928	0.3429821434
929	0.3428685143
930	0.3427493114
931	0.3426279242
932	0.3425644307
933	0.3424532207
934	0.3423394631
935	0.3423097396
936	0.3423055268
937	0.3422009564
938	0.3420749694
939	0.3419607185
940	0.341813486
941	0.3417171074
942	0.3416169625
943	0.3414957665
944	0.3414305976
945	0.3413634044
946	0.3413067873
947	0.3411403497
948	0.3410546387
949	0.3409796177
950	0.3409761739
951	0.3408920641
952	0.3408889035
953	0.3407676263
954	0.3406532645
955	0.3405335134
956	0.3403891445
